sentiment,review
p,"What a great alternative to a traditional ER. Impressive. Visited the place for a minor but urgent problem. The center is truly state of the art and very, very clean. The reception staff was friendly and professional, fast and courteous. Then the RN did the system check-in and the NP ordered diagnostics. He never seemed rushed and responded to all questions. The longest part of the visit was getting the off-site radiologist to read the film; that took at most 15-20 mins. The entire visit was an hour or so, and that is with parking. Now I know, they offer valet in the garage off the side street. Super convenient!
The center has a boutique-style care and it is a very different vibe from any ER experience I've witnessed. 
It was extremely clean and I hope they will keep up the level of care and  spotless appearance."
p,I was just here to get some blood done for my other doctor and I was very happy that I didn't have to wait the staff was professional the doctors and nurses and the place was very clean I will recommend this place to most the people if they need to go for urgent care. It's very together
n,"I walked in asking only for a flu shot which is covered 100 % by Medicare. I had never been to an urgent care facility before so not knowing what the procedure is I filled out the stack of papers the receptionist gave me. It was medical history and HIPPA regulations, and probably a guarantor of the the account. Little did I expect that in a few weeks I would get a bill for an office visit copay. I questioned the billing office and was told this was considered an office visit and I was responsible for a copay. I only asked for a flu shot and they took my history and checked my vitals and considered that a visit which I never asked for or expected to have to pay for. As far as I am concerned this was Medicare Fraud by billing something to Medicare that they were not entitled to. As an example of the way this is supposed to happen is like a few weeks later I walked into a Walgreens Pharmacy to request a pneumonia shot. They did the right thing and took my insurance ID and gave me the shot I asked for."
p,Definitely would recommend this  place to anyone looking for urgent care.  Was there numerous times with my kids for different reasons. Never had to wait to long to be seen. Place is clean and neat. Doctors and nurses were always friendly and nice.  The do X-rays on the spot too. They even called me  for a follow up after few days to see how the kids were feeling. Overall great place
p,"The Dr and the assistant were nice and professional and the waiting time was not bad. I only give four stars bc of the receptionist. After seeing the dr I walked up to the front desk and asked the lady how much I need to pay for the visit. She responded by saying "" how much do you want to pay?"" What the heck? I just need to pay whatever I am supposed to . What kind of question is that ? Is that how you ( manager and owner) train your staff to talk the patients like that? That particular front desk needs to be trained PROPERLY."
n,"My father came here due to chest pain and high blood pressure, they took 225.00 just checked his pressure and send him home saying he is fine. Later that night he was admitted to the hospital.  Lack of experience and unqualified doctors."
p,"I like this place because it's convenient. I go in and they take me almost immediately. The only reason they lost some stars is because they could use more experienced staff. In my instance and in many others, they weren't necessarily too helpful during each visit. Also, when I tried to tell the nurse what I was feeling she stared at me and laughed. I do like the doctors there, they are kind and as helpful as they can be. 

But if you really feel like something is wrong then go to an actual physician after visiting this place for a second opinion. I've been sick for nearly 2 weeks now and they told me there's nothing wrong, to be fair they could've run a single test on me to try and figure out what was wrong but they didn't. 

Not a bad place at all, but it is what it is; urgent care. If there's something seriously wrong they could figure it out and then recommend you elsewhere. But if you need to go to the doctor, just visit your primary physician or a specialist."
n,"I woouldn't even give them one star.  They very much mislead me.  

I has a rip from my PCP for an x-ray.  I called first and asked them if they would do just the x-ray since I already has a scrip.  they said yes so I went over.  

When I was finished with papework they ushered me into an exam room.  I asked why and was told only they could write a scrip for their xrays and I needed an exam.  I told them it was a waste of time and $ but they insisted.

Exam!  Hah!  The PA did not even get a full set of vitals or a complete history.  She never even asked why my doc ordered the xray.  I think this was all a scam to bill my insurance & a big fraud.

When I called today to find out if my report was in she only asked my birthdate, not my name, not what kind of xray it was.  Then she asked for a fax number to send it to.  I hope I get my x-ray report.  Otherwise they are in total violation of HIPPA.

This is a VERY SLOPPY operation and very money grubby.  If you can't trust them on the money side how can you trust them with the medical side?"
p,Amazing place . I was out in 45 mins with all test done . Friendly doctor and staff and very clean . Definitely recommend it
n,"The front desk and nurses are very good and friendly while the dr that was there was the worst ive ever had.  I went in really not feeling well and having chronic sinusitus i knew what the problem was going in and more or less just needed a prescription and my pcp was unavaliable.  Dr harris told me i had vertigo cause i explained to.him i was dizzy cause my equilobrium was out of wack.  He wanted to send me for an xray a ct scan and wrote me a perscription for motion sickness and told me i need a vacation.  He also said i didnt have a fever and kept me waiting in the room for about 15mins while he ""spoke"" with his staff.  Dr harris was untrustworthy and didnt know anything..

Later that nite i was able to go to ny pcp with a 101.2 fever and a severe tonsill infection that puss was all over my tonsills..something dr harris didnt notice when he looked at my mouth.  

STAY AWAY FROM QUACK HARRIS.
its a shame cause the rest of the staff were great and the place has only been open a lil more than a week"
n,Took my daughter here after calling insurance company to find an urgent care place that they would pay for.  Showed up and was told they take my insurance but I must change my PCP first?  Wth?  I refused and ended up paying $225 out of pocket.  I also asked if all lab test would be covered.  They told me yes.  I just received a bill for $75 from a lab!!  This place is a scam!  Never again!  Disgusting
n,"This place is a joke... talk about ""urgent"" care. I waited to see a doctor for over 2 hours with what the receptionist told me was only 1 person before me! The nurse practitioner there was another joke on his own. It took him 10 minutes to log into their computer system there. I called the next day to speak to a managerial position there and the receptionist took my information and said I would get a call back within 10 minutes. Now I'm writing this review hours after and still no phone call. GO TO CITY MD, this place will have your patience level drop! Oh and the review about it being clean , the garbage by there water dispenser was overflowing!"
p,"Efram Zuller has treated me several times in the last few months. He is kind, compassionate and caring. He does all that he can to get you feeling better as quickly as possible.. I never wait more than 5 minutes to be seen. He has a great bedside manner and a great personality that puts your mind at ease knowing that he is willing to help you in any way he can.. Several of my friends have also started using him too. The rest of the staff is great too!"
p,"Yesterday I took my sick daughter here. The front desk staff was exceptionally friendly and efficient. They registered me right away, without making me fill out a lengthy form. Rather, they asked me the necessary questions and took my insurance card promptly. A nurse came within a few minutes to see us to the room, where she took my daughter's vitals. We then were seen by the medical director, Jacob Gerlitz, who thoroughly examined her. He was very professional; he listened to my concerns,  communicated well, and put me at ease. The whole process- registration, visit, and retrieving my car from valet parking (FREE, btw) took under 25 minutes. I would definitely return to this place.  In Brooklyn, valet parking for a clinic is rare and the service we received was outstanding."
